epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8524,1.73161,1.63261,1.59862,0.72868,0.37478,0.45299,0.17757,2.17554,1.94439,1.94641,0.000653846,0.000653846,0.000653846
2,85.2385,1.7229,1.56577,1.62183,0.50575,0.51938,0.47157,0.17141,2.12,1.95521,1.90719,0.00105905,0.00105905,0.00105905
3,111.781,1.7411,1.55256,1.624,0.74132,0.52713,0.65394,0.26394,1.99488,1.62892,1.85653,0.00120026,0.00120026,0.00120026
4,138.512,1.66834,1.53437,1.59998,0.74616,0.55814,0.64971,0.26209,2.02342,1.65162,1.8725,0.000812,0.000812,0.000812
5,165.108,1.76714,1.5317,1.64081,0.76473,0.60465,0.65955,0.27184,1.97288,1.68081,1.84491,0.000416,0.000416,0.000416
